SPRAT ID,Scientific Name,Common Name,URL,Percentage of the species modelled likely and known distribution within fire affected areas,Type,EPBC Act listed Threatened Status,EPBC Act listed Migratory Status,Range states and territories
13188,Darwinia oxylepis,Gillam's Bell,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13188,30 to <50%,Plant,Endangered,,WA
15626,Darwinia wittwerorum,Wittwer's Mountain Bell,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15626,30 to <50%,Plant,Endangered,,WA
533,Dasyornis brachypterus,Eastern Bristlebird,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=533,30 to <50%,Bird,Endangered,,"NSW, Qld, Vic"
17311,Daviesia obovata,Paddle-leaf Daviesia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17311,30 to <50%,Plant,Endangered,,WA
64565,Diuris ochroma,Pale Golden Moths,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64565,30 to <50%,Plant,Vulnerable,,"NSW, Vic"
83093,Elaeocarpus sedentarius,Minyon Quandong,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=83093,30 to <50%,Plant,Endangered,,NSW
16450,Epacris sparsa,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=16450,30 to <50%,Plant,Vulnerable,,NSW
24263,Eucalyptus argutifolia,"Yanchep Mallee, Wabling Hill Mallee",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=24263,30 to <50%,Plant,Vulnerable,,WA
56320,Eucalyptus beaniana,Bean's Ironbark,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56320,30 to <50%,Plant,Vulnerable,,Qld
2821,Eucalyptus benthamii,"Camden White Gum, Nepean River Gum",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2821,30 to <50%,Plant,Vulnerable,,NSW
